name,bounding_box,landmarks
Unknown,"(212, 149, 368, 354)","(279, 346); (331, 289); (344, 228); (228, 268); (307, 308)"
Unknown,"(219, 153, 371, 354)","(282, 350); (328, 286); (342, 229); (232, 271); (309, 314)"
Unknown,"(213, 160, 366, 353)","(271, 340); (316, 275); (336, 230); (232, 271); (309, 312)"
Unknown,"(207, 153, 362, 345)","(260, 331); (301, 263); (323, 232); (235, 275); (310, 312)"
Unknown,"(190, 170, 330, 346)","(236, 302); (273, 241); (298, 239); (239, 274); (310, 312)"
Unknown,"(178, 184, 314, 351)","(222, 285); (257, 229); (280, 249); (247, 285); (316, 315)"
Unknown,"(184, 187, 317, 351)","(224, 286); (257, 231); (283, 252); (249, 285); (317, 317)"
Unknown,"(187, 186, 324, 357)","(230, 295); (266, 237); (290, 252); (251, 289); (322, 323)"
Unknown,"(196, 183, 333, 352)","(236, 302); (269, 243); (295, 251); (251, 289); (322, 322)"
Unknown,"(197, 185, 333, 362)","(239, 303); (276, 244); (299, 248); (247, 288); (322, 323)"
Unknown,"(197, 179, 341, 360)","(240, 308); (278, 245); (302, 248); (247, 288); (324, 325)"
Unknown,"(189, 168, 348, 363)","(241, 315); (283, 249); (312, 244); (241, 286); (326, 325)"
Unknown,"(181, 125, 377, 368)","(244, 335); (294, 251); (324, 225); (222, 278); (327, 326)"
Unknown,"(165, 114, 389, 401)","(237, 343); (300, 248); (338, 217); (214, 280); (337, 336)"
Unknown,"(144, 103, 386, 412)","(222, 337); (286, 236); (327, 226); (219, 291); (354, 350)"
Unknown,"(132, 109, 388, 421)","(209, 327); (271, 222); (314, 236); (231, 307); (370, 368)"
Unknown,"(123, 113, 394, 442)","(203, 328); (270, 218); (317, 244); (238, 318); (385, 384)"
Unknown,"(127, 133, 373, 445)","(204, 321); (271, 217); (314, 250); (245, 326); (384, 383)"
Unknown,"(126, 135, 370, 440)","(203, 319); (271, 218); (313, 250); (244, 326); (383, 380)"
Unknown,"(127, 134, 371, 441)","(205, 321); (273, 218); (314, 250); (245, 326); (383, 380)"
Unknown,"(122, 115, 387, 437)","(203, 324); (270, 217); (314, 247); (242, 324); (384, 382)"
Unknown,"(130, 132, 372, 439)","(207, 323); (273, 219); (313, 246); (243, 320); (377, 377)"
